ID,Case Number,Date,Time,AM/PM,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats,Wards 2023-
13289266,JG518488,11/26/2023,6:30:00,PM,024XX E 75TH ST,460,BATTERY,SIMPLE,CTA BUS STOP,FALSE,FALSE,334,3,7,43,08B,2023,12/4/2023 15:41,41.7589917,-87.56607281,"(41.758991698, -87.566072806)",43,"22,538",39,245,37,24,18,213,5
13289750,JG518979,11/26/2023,5:00:00,PM,005XX S KEDZIE AVE,313,ROBBERY,ARMED - OTHER DANGEROUS WEAPON,CTA TRAIN,TRUE,FALSE,1134,11,24,27,3,2023,1/2/2024 15:41,41.8740601,-87.70592431,"(41.874060099, -87.705924314)",36,"21,572",28,765,14,30,16,140,24
13289245,JG518282,11/26/2023,2:48:00,PM,0000X W 87TH ST,496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,CTA STATION,FALSE,TRUE,622,6,21,44,04B,2023,12/4/2023 15:41,41.73627334,-87.62533172,"(41.736273339, -87.625331716)",18,"21,554",40,1,13,59,20,242,21
13289077,JG518184,11/26/2023,2:06:00,PM,0000X W VAN BUREN ST,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,CTA STATION,TRUE,FALSE,113,1,4,32,18,2023,12/4/2023 15:41,41.87690915,-87.62842654,"(41.876909148, -87.628426538)",48,"14,913",38,92,10,35,22,126,9
13289111,JG518364,11/26/2023,2:04:00,PM,0000X W VAN BUREN ST,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,CTA STATION,TRUE,FALSE,113,1,4,32,24,2023,12/4/2023 15:41,41.87690915,-87.62842654,"(41.876909148, -87.628426538)",48,"14,913",38,92,10,35,22,126,9
13289251,JG518530,11/26/2023,7:45:00,AM,035XX S LEAVITT ST,460,BATTERY,SIMPLE,CTA TRAIN,FALSE,FALSE,912,9,12,59,08B,2023,12/4/2023 15:41,41.8295801,-87.68014238,"(41.829580097, -87.680142381)",26,"14,924",56,719,1,37,23,165,12
13288733,JG517778,11/26/2023,5:35:00,AM,047XX S HOYNE AVE,031A,ROBBERY,ARMED - HANDGUN,CTA BUS STOP,FALSE,FALSE,931,9,12,61,3,2023,12/4/2023 15:41,41.80804218,-87.67710406,"(41.808042175, -87.677104058)",29,"14,924",59,788,3,37,23,119,15
13288499,JG517640,11/26/2023,1:14:00,AM,018XX W OGDEN AVE,312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,CTA TRAIN,FALSE,FALSE,1231,12,27,28,3,2023,12/4/2023 15:41,41.87578439,-87.67280577,"(41.875784388, -87.672805765)",48,"21,184",29,90,46,28,15,136,27
13288494,JG517615,11/26/2023,12:30:00,AM,005XX N MILWAUKEE AVE,313,ROBBERY,ARMED - OTHER DANGEROUS WEAPON,CTA TRAIN,TRUE,FALSE,1214,12,27,24,3,2023,1/29/2024 15:40,41.89141255,-87.6479346,"(41.891412551, -87.647934597)",41,"22,620",25,522,46,49,15,76,27
13288514,JG517627,11/26/2023,12:20:00,AM,003XX S STATE ST,557,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - KNIFE / CUTTING INSTRUMENT,CTA STATION,FALSE,FALSE,113,1,4,32,04A,2023,12/4/2023 15:41,41.87778814,-87.6276678,"(41.877788135, -87.627667799)",48,"14,912",38,367,10,29,22,126,9
