route,routename,Month_Beginning,Avg_Weekday_Rides,Avg_Saturday_Rides,Avg_Sunday-Holiday_Rides,MonthTotal
71,71st/South Shore,02/01/2001,"7,650.9","5,818.3","3,525.7","190,393"
72,North,02/01/2001,"15,783.4","10,803.7","7,612.3","389,332"
73,Armitage,02/01/2001,"5,320.6","2,199.4","1,419.2","120,886"
74,Fullerton,02/01/2001,"13,381","10,172.3","7,385.9","337,853"
75,74th-75th,02/01/2001,"7,381.3","4,746.8","3,080.6","178,935"
76,Diversey,02/01/2001,"13,775.4","6,886.9","5,484.3","324,993"
77,Belmont,02/01/2001,"20,885.2","12,153.8","8,920.7","502,001"
78,Montrose,02/01/2001,"9,341.3","5,803.6","3,336.4","223,386"
79,79th,02/01/2001,"32,205.8","23,639.8","16,737.1","805,623"
80,Irving Park,02/01/2001,"11,989","7,662.9","5,326.3","291,736"
81,Lawrence,02/01/2001,"15,145.2","11,140.3","7,563.9","377,721"
81W,West Lawrence,02/01/2001,"1,505.2",851.7,444,"35,286"
82,Kimball-Homan,02/01/2001,"21,175.6","12,105.2","7,245.6","500,916"
84,Peterson,02/01/2001,"4,369.3","1,983.8","1,213.7","100,176"
85,Central,02/01/2001,"13,316.8","8,252.3","5,260.9","320,389"
85A,North Central,02/01/2001,879.8,51.8,0,"17,802"
86,Narragansett/Ridgeland,02/01/2001,"2,187",0,0,"43,741"
87,87th,02/01/2001,"16,279.6","10,064.7","6,168.6","390,526"
88,Higgins,02/01/2001,"1,705.2",765.6,939.9,"40,925"
90,Harlem,02/01/2001,"3,967","2,612.5","1,503.4","95,804"
90N,North Harlem,02/01/2001,360.1,117.7,0,"7,673"
91,Austin,02/01/2001,"8,550.5","4,194.4","2,306.3","197,013"
92,Foster,02/01/2001,"7,803.5","4,099.3","2,744","183,443"
93,California/Dodge,02/01/2001,"2,249.3",974.8,0,"48,884"
94,South California,02/01/2001,"10,951.8","4,518.5","3,431.3","250,835"
95E,93rd-95th,02/01/2001,"5,773.6","4,785.1","3,102.1","147,020"
95W,West 95th,02/01/2001,"5,348.8","4,890.2","3,093.9","138,913"
96,Lunt,02/01/2001,"1,332",0,0,"26,640"
97,Skokie,02/01/2001,"3,788.5","1,932.1","1,232.6","88,429"
100,Jeffery Manor Express,02/01/2001,"1,177.7",0,0,"23,555"
103,West 103rd,02/01/2001,"3,852","1,457.5","1,155.9","87,493"
106,East 103rd,02/01/2001,"2,663.3",611.2,487.6,"57,661"
108,Halsted/95th,02/01/2001,"3,104.7",0,0,"62,094"
111,Pullman/111th/115th,02/01/2001,"6,361.6","3,700.4","2,243.8","151,009"
112,Vincennes/111th,02/01/2001,"4,003.7","1,374.8",965.9,"89,438"
119,Michigan/119th,02/01/2001,"5,484.8","4,686.4","3,177.5","141,151"
120,Ogilvie/Wacker Express,02/01/2001,624.8,0,0,"12,496"
121,Union/Wacker Express,02/01/2001,"1,345",0,0,"26,900"
122,Illinois Center/Ogilvie Express,02/01/2001,"1,053.4",0,0,"21,067"
123,Illinois Center/Union Express,02/01/2001,776.8,0,0,"15,536"
